2256,אי.בי.אי תגמולים ופיצויים מחקה מדד S&P500
2262,אי.בי.אי לתגמולים ופיצויים פאסיבי משולב עד 10% מניות
2263,אי.בי.אי לתגמולים ופיצויים פאסיבי משולב עד 25% מניות
2264,"אי.בי.אי השתלמות מחקה מדד ת""א 25"
2265,אי.בי.אי השתלמות מחקה מדד S&P500
2270,אי.בי.אי השתלמות פאסיבי משולב עד 10% מניות
2271,אי.בי.אי השתלמות פאסיבי משולב עד 25% מניות
7205,מחוג  מסלול לבני 50 ומטה
7206,מחוג  מסלול לבני 50 עד 60
7207,מחוג מסלול לבני 60 ומעלה
7209,קו הבריאות לבני 50 ומטה
7210,קו הבריאות לבני 50-60
7211,קו הבריאות לבני 60 ומעלה
7215,מיטב דש גמל לבני 50 ומטה
7218,עריית חיפה עד 50
7219,עריית חיפה 50-60
7220,עריית חיפה 60 ומעלה
7221,"עו""ס גמל לבני 50 ומטה"
7222,"עו""ס גמל לבני 50 עד 60"
7223,"עו""ס גמל לבני 60 ומעלה"
7228,תגמולים האוניברסיטה העברית עד 50
7229,תגמולים האוניברסיטה העברית 60 ומעלה
7231,אינפיניטי גמל מסלול לבני 50 ומטה
7232,אינפיניטי גמל מסלול לבני 50 עד 60
7233,אינפיניטי גמל מסלול לבני 60 ומעלה
7240,כלנית גמל לבני 60 ומעלה
7242,גל גמל לבני 50 ומטה
7243,גל גמל לבני 50 עד 60
7244,גל גמל לבני 60 ומעלה
7245,כלנית גמל לבני 50 עד 60
7246,כלנית גמל לבני 50 ומטה
7253,מגדל השתלמות לבני 50 ומטה
7254,מגדל השתלמות לבני 50 עד 60
7256,מגדל השתלמות פאסיבי כללי
7635,"עובדי מדינה - משולב-אג""ח עד 15 אחוז מניות"
7703,אנליסט השתלמות כללי פאסיבי
7704,"אנליסט גמל פאסיבי - מדדי אג""ח"
7818,"אי.בי.אי תגמולים ופיצויים פאסיבי - מדדי אג""ח"
7819,אי.בי.אי השתלמות פאסיבי - כללי
8012,"מגדל לתגמולים ולפיצויים אג""ח עד 10% מניות"
8056,ילין לפידות מרכזית לפיצויים כללי ב'
8057,"הראל גמל מסלול חו""ל"
8058,"הראל השתלמות אג""ח קונצרני"
8128,"אנליסט גמל  אג""ח עד 10% במניות"
8129,"אנליסט השתלמות כללי אג""ח עד 10% מניות"
8339,"מסלול - אג""ח"
8382,"מסלול מישור אג""ח"
8394,מורים על יסודי מסלול הלכה
8395,מישור מסלול הלכה
8563,ילין לפידות קרן השתלמות מסלול מניות
8597,"הפניקס השתלמות - מסלול אג""ח עד 25% מניות"
8624,"אקסלנס גמל פאסיבי-מדדי אג""ח עד 25% במדדי מניות"
8626,אקסלנס גמל פאסיבי- מדדי מניות
8627,"אקסלנס גמל פאסיבי-מדדי אג""ח"
8628,"אקסלנס השתלמות פאסיבי-מדדי אג""ח עד 25% במדדי מניות"
8629,אקסלנס השתלמות פאסיבי - כללי
8630,אקסלנס השתלמות פאסיבי-מדדי מניות
8631,"אקסלנס השתלמות פאסיבי-מדדי אג""ח"
8679,"אנליסט השתלמות אג""ח עד 20% במניות"
8695,"אינטרגמל תגמולים - מדד ""מניות תל אביב 25"""
8696,"""אינטרגמל תגמולים - אג""ח ממשלת ישראל, צמוד מדד לטווח של 5-10 שנים"
8697,"אינטרגמל תגמולים - אג""ח ממשלתי שקלי בריבית קבועה"
8698,"אינטרגמל תגמולים - מדד ""תל בונד 20"""
8699,אינטרגמל תגמולים - מסלול מזומנים ושווי מזומנים
8701,"""אינטרגמל השתלמות""-מדד ""מניות תל אביב 25"""
8702,"""אינטרגמל השתלמות""-אג""ח ממשלת ישראל, צמוד מדד לטווח של 5-10 שנים"
8703,"""אינטרגמל השתלמות""-אג""ח ממשלתי שקלי בריבית קבועה"
8704,"""אינטרגמל השתלמות""-מדד ""תל בונד 20"""
8705,"""אינטרגמל השתלמות""-מסלול מזומנים ושווי מזומנים"
8759,הראל גמל IRA IRA
8761,הראל השתלמות IRA IRA
8765,אקסלנס קסם מרכזית לפיצויים מחקה מדדים
8766,"אקסלנס קסם מרכזית לפיצויים מחקה מדדי אג""ח"
8779,"אנליסט השתלמות חו""ל"
8885,"מיטב דש השתלמות אג""ח עד 25% במניות"
8888,מגדל לתגמולים בניהול אישי IRA
8890,מגדל השתלמות בניהול אישי IRA
8891,"רעות אג""ח עד 10% במניות"
9418,אקסלנס גמל מסלולית לפיצויים רבת מסלולים
9431,"איילון תגמולים ואישית לפיצויים חו""ל"
9432,"איילון השתלמות חו""ל"
9451,אינטרגמל השתלמות -מניות S&P500
9452,אינטרגמל תגמולים - מניות מדד S&P500
9475,אקסלנס מרכזית לפיצויים שקלי קצר
9479,עובדי מדינה - מניות
9482,אי.בי.אי. - קופת גמל מרכזית להשתתפות בפנסיה תקציבית כללי כללי
9484,הלמן-אלדובי פנסיה תקציבית
9491,מיטב דש להשתתפות בפנסיה תקציבית כללי
9528,הפניקס השתלמות - מסלול הלכה
9529,הפניקס תגמולים ופיצויים - מסלול לבני 50 עד 60
9530,הפניקס תגמולים ופיצויים - מסלול לבני 60 ומעלה
